pattern,syllable,vowel_sound,tts_locale,query_text,example_word,file,status
KVK,bah,standard,id-MY,bah,abah,KVK/KVK_bah.mp3,already-present
KVK,bak,standard,id-MY,bak,ammabakdahu,KVK/KVK_bak.mp3,already-present
KVK,bal,standard,id-MY,bal,babal,KVK/KVK_bal.mp3,already-present
KVK,bam,standard,id-MY,bam,bam,KVK/KVK_bam.mp3,already-present
KVK,ban,standard,id-MY,ban,peradaban,KVK/KVK_ban.mp3,already-present
KVK,bap,standard,id-MY,bap,baptis,KVK/KVK_bap.mp3,already-present
KVK,bar,standard,id-MY,bar,abar,KVK/KVK_bar.mp3,already-present
KVK,bas,standard,id-MY,bas,babas,KVK/KVK_bas.mp3,already-present
KVK,bat,standard,id-MY,bat,akibat,KVK/KVK_bat.mp3,already-present
KVK,beh,e-pepet,hi,बह,bebeh,KVK/KVK_beh_e-pepet.mp3,generated
KVK,beh,e-taling,id-MY,behh,bebeh,KVK/KVK_beh_e-taling.mp3,already-present
KVK,bek,e-pepet,hi,बक,bebek,KVK/KVK_bek_e-pepet.mp3,generated
KVK,bek,e-taling,id-MY,behk,bebek,KVK/KVK_bek_e-taling.mp3,already-present
KVK,bel,e-pepet,hi,बल,bebel,KVK/KVK_bel_e-pepet.mp3,generated
KVK,bel,e-taling,id-MY,behl,bebel,KVK/KVK_bel_e-taling.mp3,already-present
KVK,bem,e-pepet,hi,बम,bemban,KVK/KVK_bem_e-pepet.mp3,generated
KVK,bem,e-taling,id-MY,behm,bemban,KVK/KVK_bem_e-taling.mp3,already-present
KVK,ben,e-pepet,hi,बन,benbarang,KVK/KVK_ben_e-pepet.mp3,generated
KVK,ben,e-taling,id-MY,behn,benbarang,KVK/KVK_ben_e-taling.mp3,already-present
KVK,ber,e-pepet,hi,बर,berpelajaran,KVK/KVK_ber_e-pepet.mp3,generated
KVK,ber,e-taling,id-MY,behr,berpelajaran,KVK/KVK_ber_e-taling.mp3,already-present
KVK,bes,e-pepet,hi,बस,bes,KVK/KVK_bes_e-pepet.mp3,generated
KVK,bes,e-taling,id-MY,behs,bes,KVK/KVK_bes_e-taling.mp3,already-present
